Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Command,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
essentials-halter-top-khaki,Essentials Halter Top - Chocolate Gray,,LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/offbrownhalter.png?v=1764234538,,Essentials Halter Top - Chocolate Gray,false,,,,,,,,,,,,,,,,,,,,,active
essentials-halter-top-khaki,,,,,,,,,M,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/closeups-3.jpg?v=1764234538,,Essentials Halter Top - Chocolate Gray,,,,,,,,,,,,,,,,,,,,,,active
essentials-halter-top-khaki,,,,,,,,,L,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/Firefly_Gemini_Flash_change_color_of_the_bra_to_hex_color_code_5c5253_829796.png?v=1764238374,,Essentials Halter Top - Chocolate Gray,,,,,,,,,,,,,,,,,,,,,,active
essentials-halter-top-brown,Essentials Halter Top - Hazel,,LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/haltertopbrown.png?v=1764234550,,Essentials Halter Top - Hazel,false,,,,,,,,,,,,,,,,,,,,,active
essentials-halter-top-brown,,,,,,,,,M,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/closeups-1.jpg?v=1764234550,,Essentials Halter Top - Hazel,,,,,,,,,,,,,,,,,,,,,,active
essentials-halter-top-brown,,,,,,,,,L,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/Firefly_change_the_color_of_the_bra_to_brown_694928.png?v=1764238421,,Essentials Halter Top - Hazel,,,,,,,,,,,,,,,,,,,,,,active
essentials-halter-top-black,Essentials Halter Top - Black,,LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/blackhaltertop.png?v=1764234297,,Essentials Halter Top - Black,false,,,,,,,,,,,,,,,,,,,,,active
essentials-halter-top-black,,,,,,,,,M,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/closeups-2.jpg?v=1764234297,,Essentials Halter Top - Black,,,,,,,,,,,,,,,,,,,,,,active
essentials-halter-top-black,,,,,,,,,L,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/blackback.png?v=1764238519,,Essentials Halter Top - Black,,,,,,,,,,,,,,,,,,,,,,active
essentials-halter-top-white,Essentials Halter Top - Ivory,,LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/finalpictureofhalterbrafront.jpg?v=1764234564,,Essentials Halter Top - Ivory,false,,,,,,,,,,,,,,,,,,,,,active
essentials-halter-top-white,,,,,,,,,M,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/closeup-finalpictureofhalterbrafront.jpg?v=1764234564,,Essentials Halter Top - Ivory,,,,,,,,,,,,,,,,,,,,,,active
essentials-halter-top-white,,,,,,,,,L,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/whiteback.png?v=1764238541,,Essentials Halter Top - Ivory,,,,,,,,,,,,,,,,,,,,,,active
aura-cross-front-halter-neck-sports-bra-copy,Aura Sports Bra - Black,"<p>Super soft, super cute, minimal coverage to show off your upper body</p>
<ul>
<li>Cute, comfy</li>
<li>Flattering halter neck shape</li>
<li>Sliders in the back to get the right fit &amp; lift</li>
<li>Super soft fabric</li>
<li>Minimal coverage shows off your upper body</li>
</ul>",LEGGINX.COM,,,,true,Size,S,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/black.png?v=1764235372,,Aura Sports Bra - Black,false,,,,,,,,,,,,,,,,,,,,,active
aura-cross-front-halter-neck-sports-bra-copy,,,,,,,,,M,,,,,,0,,,deny,manual,24.00,,true,true,,https://cdn.shopify.com/s/files/1/0685/9050/2048/files/blacktopfront.png?v=1764235372,,Aura Sports Bra - Black,,,,,,,,,,,,,,,,,,,,,,active
